기관구분,자치구,행정동,행정동코드,시설명,도로명주소,위도,경도
의원,영등포구,영등포동,11190740.0,마리아내과의원,"서울특별시 영등포구 영중로 51-1, 2층 (영등포동6가, 베스트크리닉빌딩)",37.52094269783185,126.9046109989948
의원,영등포구,여의동,11190540.0,여의신광한의원,서울특별시 영등포구 국제금융로6길 33 (여의도동),37.52078238634527,126.92691590411064
의원,영등포구,여의동,11190540.0,노상우가정의학과의원,"서울특별시 영등포구 여의대방로 417, A동 203호 (여의도동, 대교상가)",37.52108916812013,126.93432434346366
의원,영등포구,대림3동,11190720.0,서울미치과의원,"서울특별시 영등포구 도림로31길 4, 위너빌 3층 302~303호 (대림동)",37.492712682289344,126.89591260700956
의원,영등포구,당산2동,11190560.0,삼성의원,"서울특별시 영등포구 당산로36길 12, 201동 204호 (당산동4가, 당산2차삼성아파트)",37.52785310473224,126.8984320443223
의원,영등포구,여의동,11190540.0,연세아이에프씨치과의원,"서울특별시 영등포구 국제금융로2길 7 (여의도동, 두레빌딩 4층)",37.524596949740086,126.92687764975824
의원,영등포구,여의동,11190540.0,사랑의치과의원,"서울특별시 영등포구 국회대로76길 33 (여의도동, 중앙보훈회관 605호)",37.529491441643344,126.92413505224776
의원,금천구,독산3동,11180540.0,오케이마취통증의학과의원,"서울특별시 금천구 시흥대로 426, 영진빌딩 1, 2층 (독산동)",37.47158757093604,126.89879104573195
의원,영등포구,여의동,11190540.0,리엔뉴의원,"서울특별시 영등포구 의사당대로 127, 211호~214호 (여의도동)",37.520242246695965,126.92637430129574
의원,영등포구,대림3동,11190720.0,정민치과의원,"서울특별시 영등포구 가마산로 368, 메디칼빌딩 1층 (대림동)",37.50123599782795,126.8993416709681
의원,영등포구,양평1동,11190610.0,제중한의원,"서울특별시 영등포구 선유서로24길 6, 120,125호 (양평동1가, 영등포 중흥 S-CLASS)",37.52339807428118,126.88627500538053
의원,영등포구,영등포본동,11190730.0,웃는아이소아청소년과의원,"서울특별시 영등포구 도신로29사길 1, 2층 (영등포동)",37.51012096654279,126.90479014991452
의원,영등포구,신길4동,11190660.0,이화한의원,서울특별시 영등포구 신길로 164 (신길동),37.506848805479095,126.9112442085066
의원,영등포구,여의동,11190540.0,갤러리치과의원,"서울특별시 영등포구 의사당대로 82 (여의도동, 대한투자신탁 2층 )",37.52257619218061,126.921804632409
의원,영등포구,대림2동,11190710.0,크리스트의원,"서울특별시 영등포구 대림로7길 13, 2층 (대림동)",37.48893021051418,126.90374399558048
의원,영등포구,문래동,11190760.0,제일중앙치과의원,"서울특별시 영등포구 선유로9길 10, SK V1 center 2층 201호 (문래동6가)",37.51791083834009,126.8872093812064
의원,영등포구,영등포본동,11190730.0,대우명소아과의원,"서울특별시 영등포구 도신로29길 28, 2층 (영등포동)",37.51206170349813,126.90454482899472
의원,영등포구,신길6동,11190680.0,신풍산부인과의원,"서울특별시 영등포구 신풍로 33, 2층 (신길동)",37.50040889410791,126.90993083305884
의원,영등포구,여의동,11190540.0,온지당한의원,"서울특별시 영등포구 여의대방로 394, 201호 (여의도동, 우정빌딩)",37.519330788201465,126.93279628551716
의원,영등포구,영등포본동,11190730.0,경희당한의원,"서울특별시 영등포구 영신로19길 23, 반석빌딩 4층 (영등포동)",37.51354500075746,126.90542830843242
