관리번호,설치목적구분,카메라대수,도로명주소,위도,경도,행정동코드,행정동,자치구,보정구분,보정거리_m
202630100000800373,시설물관리,1,서울특별시 중구 동호로30길 2 (장충동2가 ),37.56081,127.00308,11020580.0,장충동,중구,원본정상,
202630100000800374,시설물관리,1,서울특별시 중구 서소문로11길 19,37.56383,126.97244,11020520.0,소공동,중구,원본정상,
202630100000800375,시설물관리,1,서울특별시 중구 서소문로11길 19,37.56416,126.97275,11020520.0,소공동,중구,원본정상,
202630100000800376,시설물관리,1,서울특별시 중구 서소문로11길 19,37.56387,126.97279,11020520.0,소공동,중구,원본정상,
202630100000800377,시설물관리,1,서울특별시 중구 서소문로11길 19,37.5641,126.97238,11020520.0,소공동,중구,원본정상,
202630100000800378,시설물관리,1,서울특별시 중구 세종대로 19길 16,37.56728,126.9757,11020520.0,소공동,중구,원본정상,
202630100000800379,시설물관리,1,서울특별시 중구 세종대로 19길 16,37.56728,126.9757,11020520.0,소공동,중구,원본정상,
202630100000800380,시설물관리,1,서울특별시 중구 세종대로 19길 16,37.56728,126.9757,11020520.0,소공동,중구,원본정상,
202630100000800381,시설물관리,1,서울특별시 중구 세종대로 19길 16,37.56717,126.9763,11020520.0,소공동,중구,원본정상,
202630100000800382,시설물관리,1,서울특별시 중구 세종대로 19길 16,37.56672,126.97558,11020520.0,소공동,중구,원본정상,
202630100000800383,시설물관리,1,서울특별시 중구 남대문로 118 (남대문로1가 ),37.56783,126.98294,11020550.0,명동,중구,원본정상,
202630100000800384,시설물관리,1,서울특별시 중구 남대문로 118 (남대문로1가 ),37.56759,126.98335,11020550.0,명동,중구,원본정상,
202630100000800385,시설물관리,1,서울특별시 중구 덕수궁길 130,37.5679,126.97369,11020520.0,소공동,중구,원본정상,
202630100000800707,생활방범,4,서울특별시 중구 퇴계로50길 43-5 (묵정동),37.5607,127.00134,11020580.0,장충동,중구,원본정상,
202630100000800708,생활방범,4,서울특별시 중구 퇴계로46길 15-5 (묵정동),37.56163,127.00022,11020570.0,필동,중구,원본정상,
202630100000800709,생활방범,4,서울특별시 중구 퇴계로52길 17 (쌍림동),37.56245,127.00388,11020580.0,장충동,중구,원본정상,
202630100000800710,생활방범,4,서울특별시 중구 퇴계로56길 12 (쌍림동),37.5633,127.00568,11020590.0,광희동,중구,원본정상,
202630100000800711,생활방범,4,서울특별시 중구 장충단로7길 10 (쌍림동),37.56234,127.006,11020580.0,장충동,중구,원본정상,
202630100000800712,생활방범,3,서울특별시 중구 동호로25길 38-5,37.55985,127.00221,11020580.0,장충동,중구,원본정상,
202630100000800713,어린이보호,5,서울특별시 중구 퇴계로50길13,37.56219,127.00116,11020580.0,장충동,중구,원본정상,
202630100000800714,생활방범,4,서울특별시 중구 장충단로8나길25,37.56277,127.00945,11020580.0,장충동,중구,원본정상,
202630100000800715,생활방범,4,,37.55986,127.0018,11020580.0,장충동,중구,원본정상,
202630100000800716,생활방범,4,서울특별시 중구 퇴계로 298,37.56333,127.00384,11020590.0,광희동,중구,원본정상,
202630100000800717,생활방범,3,서울특별시 중구 퇴계로52길 5-8,37.56305,127.00421,11020590.0,광희동,중구,원본정상,
202630100000800718,생활방범,4,서울특별시 중구 수표로 32 (저동2가),37.56393,126.99018,11020600.0,을지로동,중구,원본정상,
202630100000800719,생활방범,3,서울특별시 중구 을지로11길 28,37.56763,126.9909,11020600.0,을지로동,중구,원본정상,
